commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 90.00,Rs 110.00,Rs 100.00
Tomato Small(Local),KG,Rs 35.00,Rs 40.00,Rs 37.50
Tomato Small(Tunnel),KG,Rs 58.00,Rs 68.00,Rs 63.40
Potato Red,KG,Rs 48.00,Rs 50.00,Rs 49.00
Potato Red(Indian),KG,Rs 35.00,Rs 36.00,Rs 35.50
Potato Red(Mude),KG,Rs 38.00,Rs 40.00,Rs 39.00
Potato White,KG,Rs 34.00,Rs 35.00,Rs 34.50
Carrot(Local),KG,Rs 110.00,Rs 120.00,Rs 116.00
Cauli Local,KG,Rs 80.00,Rs 100.00,Rs 88.00
Cauli Local(Jyapu),KG,Rs 100.00,Rs 120.00,Rs 110.00
Raddish Red,KG,Rs 25.00,Rs 30.00,Rs 26.67
Raddish White(Local),KG,Rs 10.00,Rs 15.00,Rs 12.40
Raddish White(Hybrid),KG,Rs 15.00,Rs 20.00,Rs 17.50
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 36.00
Brinjal Round,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cow pea(Long),KG,Rs 40.00,Rs 50.00,Rs 43.00
Cowpea(Short),KG,Rs 40.00,Rs 50.00,Rs 46.67
French Bean(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),KG,Rs 90.00,Rs 100.00,Rs 96.67
Sword Bean,KG,Rs 90.00,Rs 100.00,Rs 95.00
Soyabean Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pointed Gourd(Local),KG,Rs 40.00,Rs 45.00,Rs 42.50
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 35.00,Rs 45.00,Rs 39.00
Sponge Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 56.67
Okara,KG,Rs 35.00,Rs 40.00,Rs 38.00
Arum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Onion Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Mushroom(Kanya),KG,Rs 150.00,Rs 180.00,Rs 164.00
Mushroom(Button),KG,Rs 280.00,Rs 330.00,Rs 306.00
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 283.33
Neuro,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,KG,Rs 90.00,Rs 100.00,Rs 96.67
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,KG,Rs 140.00,Rs 150.00,Rs 146.67
Celery,KG,Rs 120.00,Rs 150.00,Rs 140.00
Parseley,KG,Rs 300.00,Rs 400.00,Rs 350.00
Mint,KG,Rs 200.00,Rs 250.00,Rs 225.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 110.00,Rs 120.00,Rs 116.67
Tofu,KG,Rs 110.00,Rs 120.00,Rs 116.67
Apple(Fuji),KG,Rs 350.00,Rs 400.00,Rs 375.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 146.67
Lime,KG,Rs 130.00,Rs 150.00,Rs 140.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 383.33
Mango(Maldah),KG,Rs 120.00,Rs 130.00,Rs 126.67
Mango(Chousa),KG,Rs 140.00,Rs 150.00,Rs 146.67
Grapes(Black),KG,Rs 550.00,Rs 580.00,Rs 565.00
Water Melon(Green),KG,Rs 80.00,Rs 90.00,Rs 86.67
Sweet Orange,KG,Rs 220.00,Rs 250.00,Rs 235.00
Mandarin,KG,Rs 250.00,Rs 260.00,Rs 255.00
Pineapple,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 25.00,Rs 22.50
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Kiwi,KG,Rs 800.00,Rs 900.00,Rs 850.00
Avocado,KG,Rs 500.00,Rs 600.00,Rs 550.00
Ginger,KG,Rs 250.00,Rs 270.00,Rs 260.00
Chilli Dry,KG,Rs 450.00,Rs 480.00,Rs 470.00
Chilli Green,KG,Rs 140.00,Rs 150.00,Rs 145.00
Chilli Green(Bullet),KG,Rs 150.00,Rs 160.00,Rs 156.67
Chilli Green(Machhe),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 300.00,Rs 400.00,Rs 350.00
Capsicum,KG,Rs 110.00,Rs 120.00,Rs 116.00
Garlic Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Garlic Dry Chinese,KG,Rs 260.00,Rs 280.00,Rs 270.00
Garlic Dry Nepali,KG,Rs 210.00,Rs 220.00,Rs 216.67
Clive Dry,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),KG,Rs 310.00,Rs 320.00,Rs 315.00
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 250.00,Rs 246.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 250.00,Rs 246.67
Fish Fresh(Mungari),KG,Rs 300.00,Rs 310.00,Rs 306.67
