commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 56.67
Tomato Small(Local),KG,Rs 18.00,Rs 22.00,Rs 20.40
Potato Red,KG,Rs 50.00,Rs 53.00,Rs 51.40
Potato Red(Indian),KG,Rs 26.00,Rs 28.00,Rs 26.80
Potato Red(Mude),KG,Rs 44.00,Rs 46.00,Rs 44.80
Potato White,KG,Rs 35.00,Rs 36.00,Rs 35.50
Onion Dry (Indian),KG,Rs 45.00,Rs 48.00,Rs 46.20
Carrot(Local),KG,Rs 120.00,Rs 130.00,Rs 126.67
Cabbage(Local),KG,Rs 35.00,Rs 45.00,Rs 38.00
Cauli Local,KG,Rs 70.00,Rs 80.00,Rs 74.40
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 46.67
Raddish White(Local),KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 27.50
Brinjal Long,KG,Rs 20.00,Rs 25.00,Rs 22.50
Brinjal Round,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),KG,Rs 25.00,Rs 35.00,Rs 28.60
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.20
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sword Bean,KG,Rs 130.00,Rs 140.00,Rs 133.33
Soyabean Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bitter Gourd,KG,Rs 15.00,Rs 20.00,Rs 17.60
Bottle Gourd,KG,Rs 30.00,Rs 35.00,Rs 32.50
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 57.00
Pointed Gourd(Terai),KG,Rs 50.00,Rs 60.00,Rs 54.25
Snake Gourd,KG,Rs 20.00,Rs 25.00,Rs 23.33
Smooth Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.50
Sponge Gourd,KG,Rs 30.00,Rs 35.00,Rs 32.50
Pumpkin,KG,Rs 35.00,Rs 40.00,Rs 37.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,KG,Rs 20.00,Rs 25.00,Rs 23.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.60
Christophine,KG,Rs 25.00,Rs 30.00,Rs 27.50
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,KG,Rs 80.00,Rs 90.00,Rs 86.67
Cress Leaf,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Onion Green,KG,Rs 90.00,Rs 100.00,Rs 96.25
Mushroom(Kanya),KG,Rs 180.00,Rs 200.00,Rs 194.00
Mushroom(Button),KG,Rs 300.00,Rs 320.00,Rs 311.00
Asparagus,KG,Rs 900.00,Rs 999.99,Rs 950.00
Neuro,KG,Rs 80.00,Rs 90.00,Rs 86.67
Brocauli,KG,Rs 150.00,Rs 160.00,Rs 156.67
Sugarbeet,KG,Rs 110.00,Rs 120.00,Rs 116.67
Lettuce,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 300.00,Rs 350.00,Rs 325.00
Mint,KG,Rs 250.00,Rs 300.00,Rs 275.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 150.00,Rs 200.00,Rs 175.00
Apple(Fuji),KG,Rs 220.00,Rs 230.00,Rs 225.00
Banana,Per Dozen,Rs 100.00,Rs 110.00,Rs 105.00
Lime,KG,Rs 110.00,Rs 130.00,Rs 120.00
Pomegranate,KG,Rs 260.00,Rs 280.00,Rs 270.00
Mango(Chousa),KG,Rs 160.00,Rs 180.00,Rs 170.00
Water Melon(Green),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 160.00,Rs 180.00,Rs 170.00
Pineapple,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),KG,Rs 25.00,Rs 30.00,Rs 27.60
Cucumber(Hybrid),KG,Rs 15.00,Rs 18.00,Rs 17.00
Jack Fruit,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pear(Local),KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),KG,Rs 220.00,Rs 230.00,Rs 225.00
Papaya(Indian),KG,Rs 100.00,Rs 110.00,Rs 106.67
Kiwi,KG,Rs 700.00,Rs 800.00,Rs 750.00
Ginger,KG,Rs 70.00,Rs 80.00,Rs 74.40
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 307.60
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Bullet),KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Akbare),KG,Rs 280.00,Rs 300.00,Rs 290.00
Capsicum,KG,Rs 50.00,Rs 60.00,Rs 56.67
Garlic Green,KG,Rs 140.00,Rs 150.00,Rs 146.67
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 176.67
Garlic Dry Chinese,KG,Rs 200.00,Rs 210.00,Rs 203.00
Garlic Dry Nepali,KG,Rs 150.00,Rs 160.00,Rs 156.50
Clive Dry,KG,Rs 220.00,Rs 250.00,Rs 235.00
Clive Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 230.00,Rs 227.60
Fish Fresh(Chhadi),KG,Rs 210.00,Rs 220.00,Rs 213.00
Fish Fresh(Mungari),KG,Rs 260.00,Rs 270.00,Rs 266.67
