commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 80.00,Rs 90.00,Rs 85.00
Tomato Big(Indian),KG,Rs 100.00,Rs 110.00,Rs 105.00
Tomato Small(Local),KG,Rs 50.00,Rs 55.00,Rs 52.50
Tomato Small(Tunnel),KG,Rs 55.00,Rs 70.00,Rs 64.00
Potato Red,KG,Rs 50.00,Rs 52.00,Rs 51.20
Potato Red(Indian),KG,Rs 36.00,Rs 37.00,Rs 36.50
Potato Red(Mude),KG,Rs 48.00,Rs 50.00,Rs 49.00
Onion Dry (Indian),KG,Rs 73.00,Rs 78.00,Rs 75.40
Carrot(Local),KG,Rs 100.00,Rs 110.00,Rs 106.67
Cabbage(Local),KG,Rs 45.00,Rs 55.00,Rs 50.00
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),KG,Rs 90.00,Rs 100.00,Rs 96.67
Raddish Red,KG,Rs 60.00,Rs 70.00,Rs 66.67
Raddish White(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
Brinjal Long,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brinjal Round,KG,Rs 80.00,Rs 90.00,Rs 86.67
Cow pea(Long),KG,Rs 80.00,Rs 90.00,Rs 86.00
Cowpea(Short),KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Local),KG,Rs 80.00,Rs 90.00,Rs 86.00
French Bean(Hybrid),KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Rajma),KG,Rs 130.00,Rs 140.00,Rs 135.00
Sword Bean,KG,Rs 80.00,Rs 90.00,Rs 86.67
Soyabean Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Local),KG,Rs 55.00,Rs 60.00,Rs 57.50
Pointed Gourd(Terai),KG,Rs 55.00,Rs 60.00,Rs 57.50
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,KG,Rs 60.00,Rs 70.00,Rs 64.00
Sponge Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pumpkin,KG,Rs 50.00,Rs 55.00,Rs 53.33
Squash(Round),KG,Rs 80.00,Rs 90.00,Rs 85.00
Okara,KG,Rs 55.00,Rs 65.00,Rs 60.00
Arum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,KG,Rs 50.00,Rs 60.00,Rs 54.00
Brd Leaf Mustard,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Onion Green,KG,Rs 150.00,Rs 180.00,Rs 170.00
Mushroom(Kanya),KG,Rs 150.00,Rs 180.00,Rs 168.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,KG,Rs 450.00,Rs 500.00,Rs 475.00
Neuro,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,KG,Rs 160.00,Rs 180.00,Rs 165.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 86.67
Drumstick,KG,Rs 180.00,Rs 200.00,Rs 190.00
Red Cabbbage,KG,Rs 140.00,Rs 150.00,Rs 146.67
Lettuce,KG,Rs 300.00,Rs 400.00,Rs 350.00
Celery,KG,Rs 220.00,Rs 250.00,Rs 235.00
Parseley,KG,Rs 350.00,Rs 400.00,Rs 383.33
Mint,KG,Rs 400.00,Rs 500.00,Rs 450.00
Turnip A,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 110.00,Rs 120.00,Rs 116.67
Apple(Fuji),KG,Rs 350.00,Rs 380.00,Rs 365.00
Banana,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,KG,Rs 130.00,Rs 150.00,Rs 140.00
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 325.00
Mango(Chousa),KG,Rs 200.00,Rs 250.00,Rs 225.00
Grapes(Black),KG,Rs 400.00,Rs 500.00,Rs 450.00
Water Melon(Green),KG,Rs 70.00,Rs 80.00,Rs 76.67
Sweet Orange,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 325.00
Pineapple,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 46.67
Lemon,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Pear(Chinese),KG,Rs 300.00,Rs 350.00,Rs 325.00
Papaya(Indian),KG,Rs 80.00,Rs 90.00,Rs 86.67
Guava,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mombin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,KG,Rs 700.00,Rs 800.00,Rs 750.00
Sarifa,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,KG,Rs 350.00,Rs 400.00,Rs 375.00
Ginger,KG,Rs 250.00,Rs 280.00,Rs 264.00
Chilli Dry,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,KG,Rs 140.00,Rs 150.00,Rs 145.00
Chilli Green(Bullet),KG,Rs 160.00,Rs 170.00,Rs 165.00
Chilli Green(Machhe),KG,Rs 40.00,Rs 50.00,Rs 46.67
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,KG,Rs 200.00,Rs 220.00,Rs 210.00
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 180.00
Garlic Dry Chinese,KG,Rs 240.00,Rs 260.00,Rs 252.00
Garlic Dry Nepali,KG,Rs 250.00,Rs 280.00,Rs 263.33
Clive Dry,KG,Rs 200.00,Rs 220.00,Rs 210.00
Fish Fresh(Rahu),KG,Rs 305.00,Rs 315.00,Rs 310.00
Fish Fresh(Bachuwa),KG,Rs 230.00,Rs 240.00,Rs 235.00
Fish Fresh(Chhadi),KG,Rs 230.00,Rs 240.00,Rs 235.00
Fish Fresh(Mungari),KG,Rs 280.00,Rs 290.00,Rs 285.00
