commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 53.75
Tomato Big(Indian),KG,Rs 70.00,Rs 80.00,Rs 75.00
Tomato Small(Local),KG,Rs 25.00,Rs 30.00,Rs 27.00
Tomato Small(Tunnel),KG,Rs 30.00,Rs 35.00,Rs 32.40
Potato Red,KG,Rs 60.00,Rs 62.00,Rs 61.00
Potato Red(Indian),KG,Rs 36.00,Rs 38.00,Rs 37.00
Potato Red(Mude),KG,Rs 54.00,Rs 56.00,Rs 55.00
Onion Dry (Indian),KG,Rs 37.00,Rs 38.00,Rs 37.60
Carrot(Local),KG,Rs 130.00,Rs 140.00,Rs 135.00
Carrot(Terai),KG,Rs 80.00,Rs 90.00,Rs 86.67
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,KG,Rs 90.00,Rs 100.00,Rs 96.67
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 36.67
Raddish White(Local),KG,Rs 15.00,Rs 20.00,Rs 17.50
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 28.33
Brinjal Long,KG,Rs 25.00,Rs 35.00,Rs 30.00
Brinjal Round,KG,Rs 30.00,Rs 40.00,Rs 36.67
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 76.67
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Rajma),KG,Rs 140.00,Rs 150.00,Rs 146.67
Sword Bean,KG,Rs 110.00,Rs 120.00,Rs 116.67
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 43.33
Pointed Gourd(Local),KG,Rs 45.00,Rs 50.00,Rs 48.33
Pointed Gourd(Terai),KG,Rs 45.00,Rs 50.00,Rs 48.33
Snake Gourd,KG,Rs 25.00,Rs 30.00,Rs 28.33
Smooth Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Sponge Gourd,KG,Rs 40.00,Rs 45.00,Rs 43.33
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 40.00,Rs 50.00,Rs 45.00
Arum,KG,Rs 55.00,Rs 60.00,Rs 57.50
Christophine,KG,Rs 30.00,Rs 35.00,Rs 32.50
Brd Leaf Mustard,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Onion Green,KG,Rs 220.00,Rs 250.00,Rs 240.00
Mushroom(Kanya),KG,Rs 200.00,Rs 250.00,Rs 225.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 380.00
Asparagus,KG,Rs 450.00,Rs 500.00,Rs 483.33
Neuro,KG,Rs 100.00,Rs 110.00,Rs 106.67
Brocauli,KG,Rs 250.00,Rs 300.00,Rs 275.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,KG,Rs 150.00,Rs 160.00,Rs 155.00
Lettuce,KG,Rs 150.00,Rs 180.00,Rs 165.00
Celery,KG,Rs 250.00,Rs 300.00,Rs 275.00
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 120.00,Rs 130.00,Rs 126.67
Tofu,KG,Rs 110.00,Rs 120.00,Rs 116.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 275.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 146.67
Lime,KG,Rs 220.00,Rs 250.00,Rs 240.00
Pomegranate,KG,Rs 280.00,Rs 300.00,Rs 290.00
Mango(Chousa),KG,Rs 280.00,Rs 300.00,Rs 290.00
Water Melon(Green),KG,Rs 55.00,Rs 60.00,Rs 58.33
Sweet Orange,KG,Rs 140.00,Rs 150.00,Rs 146.67
Pineapple,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),KG,Rs 70.00,Rs 80.00,Rs 76.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 46.67
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 45.00
Lemon,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pear(Local),KG,Rs 80.00,Rs 90.00,Rs 86.67
Pear(Chinese),KG,Rs 280.00,Rs 300.00,Rs 290.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,KG,Rs 120.00,Rs 140.00,Rs 130.00
Mombin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,KG,Rs 550.00,Rs 600.00,Rs 575.00
Sarifa,KG,Rs 180.00,Rs 200.00,Rs 190.00
Avocado,KG,Rs 450.00,Rs 500.00,Rs 475.00
Amla,KG,Rs 100.00,Rs 120.00,Rs 110.00
Ginger,KG,Rs 70.00,Rs 80.00,Rs 76.00
Chilli Dry,KG,Rs 420.00,Rs 440.00,Rs 430.00
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Bullet),KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Machhe),KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Akbare),KG,Rs 120.00,Rs 150.00,Rs 135.00
Capsicum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,KG,Rs 120.00,Rs 150.00,Rs 135.00
Coriander Green,KG,Rs 450.00,Rs 500.00,Rs 483.33
Garlic Dry Chinese,KG,Rs 160.00,Rs 170.00,Rs 166.67
Garlic Dry Nepali,KG,Rs 120.00,Rs 130.00,Rs 126.67
Clive Dry,KG,Rs 170.00,Rs 180.00,Rs 175.00
Fish Fresh(Rahu),KG,Rs 310.00,Rs 320.00,Rs 315.00
Fish Fresh(Bachuwa),KG,Rs 255.00,Rs 265.00,Rs 260.00
Fish Fresh(Chhadi),KG,Rs 230.00,Rs 240.00,Rs 235.00
Fish Fresh(Mungari),KG,Rs 250.00,Rs 270.00,Rs 260.00
