commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Big(Indian),KG,Rs 40.00,Rs 50.00,Rs 46.67
Tomato Small(Local),KG,Rs 15.00,Rs 20.00,Rs 17.50
Tomato Small(Tunnel),KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,KG,Rs 40.00,Rs 42.00,Rs 41.00
Potato Red(Indian),KG,Rs 34.00,Rs 35.00,Rs 34.67
Potato Red(Mude),KG,Rs 40.00,Rs 42.00,Rs 41.00
Potato White,KG,Rs 30.00,Rs 33.00,Rs 31.67
Onion Dry (Indian),KG,Rs 43.00,Rs 45.00,Rs 44.20
Carrot(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.40
Cauli Local,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Local(Jyapu),KG,Rs 80.00,Rs 90.00,Rs 85.00
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish White(Local),KG,Rs 10.00,Rs 15.00,Rs 12.40
Raddish White(Hybrid),KG,Rs 15.00,Rs 20.00,Rs 17.50
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 50.00,Rs 60.00,Rs 56.67
Green Peas,KG,Rs 180.00,Rs 200.00,Rs 190.00
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 66.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),KG,Rs 110.00,Rs 120.00,Rs 116.67
Soyabean Green,KG,Rs 120.00,Rs 140.00,Rs 130.00
Bitter Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sponge Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pumpkin,KG,Rs 40.00,Rs 45.00,Rs 42.50
Squash(Long),KG,Rs 30.00,Rs 35.00,Rs 32.50
Squash(Round),KG,Rs 30.00,Rs 35.00,Rs 32.50
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 70.00,Rs 80.00,Rs 74.00
Sweet Potato,KG,Rs 90.00,Rs 100.00,Rs 96.67
Christophine,KG,Rs 70.00,Rs 80.00,Rs 73.33
Brd Leaf Mustard,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
