commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),KG,Rs 20.00,Rs 25.00,Rs 22.50
Tomato Small(Tunnel),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Indian),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Terai),KG,Rs 20.00,Rs 30.00,Rs 25.00
Potato Red,KG,Rs 32.00,Rs 35.00,Rs 34.00
Potato Red(Indian),KG,Rs 32.00,Rs 34.00,Rs 33.00
Onion Dry (Indian),KG,Rs 75.00,Rs 80.00,Rs 77.60
Carrot(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Carrot(Terai),KG,Rs 25.00,Rs 30.00,Rs 27.50
Cabbage(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,KG,Rs 25.00,Rs 35.00,Rs 30.00
Cauli Local(Jyapu),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Terai,KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish Red,KG,Rs 35.00,Rs 40.00,Rs 37.50
Raddish White(Local),KG,Rs 30.00,Rs 35.00,Rs 32.50
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 34.00
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 46.67
Green Peas,KG,Rs 100.00,Rs 120.00,Rs 110.00
Sword Bean,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bitter Gourd,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bottle Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 60.00,Rs 70.00,Rs 65.00
Squash(Round),KG,Rs 60.00,Rs 70.00,Rs 66.67
Turnip,KG,Rs 70.00,Rs 80.00,Rs 75.00
Okara,KG,Rs 110.00,Rs 120.00,Rs 115.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,KG,Rs 50.00,Rs 60.00,Rs 55.00
Arum,KG,Rs 90.00,Rs 100.00,Rs 96.67
Christophine,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,KG,Rs 60.00,Rs 70.00,Rs 66.67
Cress Leaf,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mustard Leaf,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,KG,Rs 60.00,Rs 70.00,Rs 66.67
Onion Green,KG,Rs 80.00,Rs 90.00,Rs 86.00
Bakula,KG,Rs 80.00,Rs 90.00,Rs 86.67
Yam,KG,Rs 70.00,Rs 80.00,Rs 73.33
Mushroom(Kanya),KG,Rs 100.00,Rs 130.00,Rs 118.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,KG,"Rs 1,500.00","Rs 2,000.00","Rs 1,750.00"
Brocauli,KG,Rs 25.00,Rs 35.00,Rs 30.00
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 65.00
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,KG,Rs 80.00,Rs 100.00,Rs 90.00
Parseley,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mint,KG,Rs 220.00,Rs 250.00,Rs 235.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,Per Dozen,Rs 130.00,Rs 150.00,Rs 140.00
Lime,KG,Rs 250.00,Rs 300.00,Rs 275.00
Pomegranate,KG,Rs 280.00,Rs 300.00,Rs 290.00
Grapes(Green),KG,Rs 120.00,Rs 150.00,Rs 135.00
Grapes(Black),KG,Rs 180.00,Rs 200.00,Rs 190.00
Orange(Nepali),KG,Rs 150.00,Rs 160.00,Rs 156.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),KG,Rs 60.00,Rs 70.00,Rs 63.33
Sweet Orange,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 150.00,Rs 160.00,Rs 156.67
Cucumber(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Jack Fruit,KG,Rs 110.00,Rs 120.00,Rs 116.67
Lemon,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Indian),KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,KG,Rs 150.00,Rs 180.00,Rs 163.33
Mombin,KG,Rs 110.00,Rs 120.00,Rs 115.00
Kinnow,KG,Rs 90.00,Rs 100.00,Rs 96.67
Strawberry,KG,Rs 250.00,Rs 350.00,Rs 300.00
Kiwi,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 400.00,Rs 500.00,Rs 450.00
Amla,KG,Rs 80.00,Rs 90.00,Rs 85.00
Ginger,KG,Rs 200.00,Rs 220.00,Rs 210.00
Chilli Dry,KG,Rs 420.00,Rs 460.00,Rs 440.00
Chilli Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Bullet),KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Machhe),KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,KG,Rs 110.00,Rs 120.00,Rs 115.00
Garlic Green,KG,Rs 100.00,Rs 120.00,Rs 113.33
Coriander Green,KG,Rs 40.00,Rs 60.00,Rs 50.00
Garlic Dry Chinese,KG,Rs 300.00,Rs 320.00,Rs 310.00
Clive Dry,KG,Rs 200.00,Rs 220.00,Rs 210.00
Clive Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),KG,Rs 340.00,Rs 360.00,Rs 350.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 270.00,Rs 260.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),KG,Rs 350.00,Rs 370.00,Rs 360.00
Tree Tomato,Kg,Rs 140.00,Rs 150.00,Rs 146.67
