commodities,unit,minimum,maximum,average
Sweet Potato,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 90.00,Rs 100.00,Rs 95.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.67
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 75.00
Spinach Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cress Leaf,KG,Rs 200.00,Rs 250.00,Rs 226.67
Mustard Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Onion Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Yam,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),KG,Rs 120.00,Rs 150.00,Rs 133.33
Mushroom(Button),KG,Rs 250.00,Rs 300.00,Rs 276.67
Asparagus,KG,Rs 900.00,"Rs 1,200.00","Rs 1,050.00"
Brocauli,KG,Rs 180.00,Rs 200.00,Rs 190.00
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 95.00
Red Cabbbage,KG,Rs 80.00,Rs 100.00,Rs 90.00
Lettuce,KG,Rs 180.00,Rs 200.00,Rs 190.00
Celery,KG,Rs 900.00,"Rs 1,000.00",Rs 950.00
Parseley,KG,"Rs 2,500.00","Rs 3,000.00","Rs 2,766.67"
Mint,KG,Rs 800.00,Rs 900.00,Rs 850.00
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,KG,Rs 180.00,Rs 200.00,Rs 190.00
Pomegranate,KG,Rs 450.00,Rs 500.00,Rs 476.67
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Water Melon(Green),KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 90.00,Rs 120.00,Rs 105.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Lemon,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Papaya(Indian),KG,Rs 110.00,Rs 130.00,Rs 120.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 166.67
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Sarifa,KG,Rs 150.00,Rs 200.00,Rs 176.67
Avocado,KG,Rs 230.00,Rs 250.00,Rs 240.00
Amla,KG,Rs 50.00,Rs 60.00,Rs 55.00
Ginger,KG,Rs 200.00,Rs 220.00,Rs 210.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 416.67
Chilli Green,KG,Rs 180.00,Rs 190.00,Rs 185.00
Chilli Green(Bullet),KG,Rs 180.00,Rs 190.00,Rs 185.00
Chilli Green(Akbare),KG,Rs 260.00,Rs 280.00,Rs 270.00
Capsicum,KG,Rs 180.00,Rs 200.00,Rs 190.00
Garlic Green,KG,Rs 180.00,Rs 250.00,Rs 215.00
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 176.67
Garlic Dry Chinese,KG,Rs 280.00,Rs 300.00,Rs 290.00
Garlic Dry Nepali,KG,Rs 300.00,Rs 320.00,Rs 310.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 266.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
Tree Tomato,Kg,Rs 180.00,Rs 200.00,Rs 190.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
