commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),KG,Rs 20.00,Rs 25.00,Rs 22.33
Tomato Small(Tunnel),KG,Rs 30.00,Rs 35.00,Rs 32.67
Tomato Small(Indian),KG,Rs 30.00,Rs 35.00,Rs 32.67
Tomato Small(Terai),KG,Rs 30.00,Rs 35.00,Rs 32.67
Potato Red,KG,Rs 32.00,Rs 35.00,Rs 33.33
Potato Red(Indian),KG,Rs 30.00,Rs 32.00,Rs 31.00
Potato White,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),KG,Rs 32.00,Rs 35.00,Rs 33.33
Carrot(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Carrot(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.33
Cauli Local,KG,Rs 30.00,Rs 35.00,Rs 32.67
Cauli Local(Jyapu),KG,Rs 35.00,Rs 40.00,Rs 37.67
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 22.33
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 27.67
Brinjal Long,KG,Rs 30.00,Rs 35.00,Rs 32.67
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 60.00,Rs 70.00,Rs 65.00
Green Peas,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 20.00,Rs 25.00,Rs 22.33
French Bean(Hybrid),KG,Rs 30.00,Rs 35.00,Rs 32.67
French Bean(Rajma),KG,Rs 70.00,Rs 80.00,Rs 75.00
Sword Bean,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bitter Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bottle Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.33
Pointed Gourd(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Terai),KG,Rs 80.00,Rs 90.00,Rs 85.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 30.00,Rs 35.00,Rs 32.67
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Long),KG,Rs 15.00,Rs 25.00,Rs 20.00
Squash(Round),KG,Rs 15.00,Rs 25.00,Rs 20.00
Turnip,KG,Rs 60.00,Rs 70.00,Rs 65.00
Okara,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brd Leaf Mustard,KG,Rs 25.00,Rs 35.00,Rs 30.00
Spinach Leaf,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cress Leaf,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mustard Leaf,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,KG,Rs 80.00,Rs 90.00,Rs 85.00
Onion Green,KG,Rs 25.00,Rs 35.00,Rs 30.00
Bakula,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mushroom(Kanya),KG,Rs 180.00,Rs 200.00,Rs 190.00
Mushroom(Button),KG,Rs 400.00,Rs 450.00,Rs 426.67
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 275.00
Neuro,KG,Rs 90.00,Rs 100.00,Rs 95.00
Brocauli,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 65.00
Drumstick,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bauhania flower,KG,Rs 230.00,Rs 260.00,Rs 246.67
Red Cabbbage,KG,Rs 40.00,Rs 50.00,Rs 45.00
Lettuce,KG,Rs 40.00,Rs 50.00,Rs 45.00
Knolkhol,KG,Rs 40.00,Rs 50.00,Rs 45.00
Celery,KG,Rs 120.00,Rs 150.00,Rs 135.00
Parseley,KG,Rs 200.00,Rs 250.00,Rs 225.00
Fennel Leaf,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mint,KG,Rs 120.00,Rs 150.00,Rs 135.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),KG,Rs 180.00,Rs 220.00,Rs 200.00
Apple(Fuji),KG,Rs 250.00,Rs 280.00,Rs 265.00
Banana,Per Dozen,Rs 170.00,Rs 180.00,Rs 175.00
Lime,KG,Rs 230.00,Rs 250.00,Rs 240.00
Pomegranate,KG,Rs 250.00,Rs 300.00,Rs 275.00
Mango(Dushari),KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Green),KG,Rs 130.00,Rs 150.00,Rs 140.00
Grapes(Black),KG,Rs 200.00,Rs 250.00,Rs 225.00
Orange(Indian),KG,Rs 150.00,Rs 160.00,Rs 155.00
Water Melon(Green),KG,Rs 35.00,Rs 40.00,Rs 37.67
Sweet Orange,KG,Rs 180.00,Rs 200.00,Rs 190.00
Mandarin,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
Cucumber(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 250.00,Rs 280.00,Rs 265.00
Kinnow,KG,Rs 120.00,Rs 150.00,Rs 135.00
Strawberry,KG,Rs 250.00,Rs 300.00,Rs 275.00
Kiwi,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 400.00,Rs 500.00,Rs 450.00
Amla,KG,Rs 120.00,Rs 130.00,Rs 125.00
Ginger,KG,Rs 120.00,Rs 130.00,Rs 125.00
Chilli Dry,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Bullet),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,KG,Rs 90.00,Rs 100.00,Rs 95.00
Garlic Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Coriander Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Dry Chinese,KG,Rs 170.00,Rs 180.00,Rs 175.00
Garlic Dry Nepali,KG,Rs 90.00,Rs 100.00,Rs 95.00
Clive Dry,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fish Fresh(Rahu),KG,Rs 330.00,Rs 360.00,Rs 345.00
Fish Fresh(Bachuwa),KG,Rs 280.00,Rs 300.00,Rs 290.00
Fish Fresh(Chhadi),KG,Rs 280.00,Rs 300.00,Rs 290.00
Fish Fresh(Mungari),KG,Rs 300.00,Rs 330.00,Rs 315.00
