commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),KG,Rs 80.00,Rs 90.00,Rs 85.00
Tomato Small(Local),KG,Rs 25.00,Rs 30.00,Rs 27.67
Tomato Small(Tunnel),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Indian),KG,Rs 30.00,Rs 42.00,Rs 36.75
Potato Red,KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato Red(Indian),KG,Rs 54.00,Rs 56.00,Rs 55.00
Potato Red(Mude),KG,Rs 55.00,Rs 60.00,Rs 57.67
Potato White,KG,Rs 54.00,Rs 55.00,Rs 54.33
Onion Dry (Indian),KG,Rs 120.00,Rs 130.00,Rs 125.00
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Carrot(Terai),KG,Rs 80.00,Rs 90.00,Rs 85.00
Cabbage(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cauli Local(Jyapu),KG,Rs 120.00,Rs 130.00,Rs 125.00
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Local),KG,Rs 25.00,Rs 30.00,Rs 27.67
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 80.00,Rs 90.00,Rs 85.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Hybrid),KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Rajma),KG,Rs 130.00,Rs 150.00,Rs 140.00
Sword Bean,KG,Rs 120.00,Rs 130.00,Rs 125.00
Soyabean Green,KG,Rs 120.00,Rs 130.00,Rs 125.00
Bitter Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,KG,Rs 40.00,Rs 50.00,Rs 45.00
Arum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Christophine,KG,Rs 25.00,Rs 35.00,Rs 30.00
Brd Leaf Mustard,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mustard Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Onion Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Mushroom(Kanya),KG,Rs 170.00,Rs 200.00,Rs 186.67
Mushroom(Button),KG,Rs 400.00,Rs 450.00,Rs 426.67
Asparagus,KG,Rs 300.00,Rs 350.00,Rs 326.67
Neuro,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,KG,Rs 150.00,Rs 200.00,Rs 176.67
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Red Cabbbage,KG,Rs 150.00,Rs 180.00,Rs 163.33
Lettuce,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 350.00,Rs 400.00,Rs 376.67
Parseley,KG,"Rs 1,200.00","Rs 1,300.00","Rs 1,250.00"
Mint,KG,Rs 500.00,Rs 600.00,Rs 550.00
Turnip A,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 100.00,Rs 120.00,Rs 110.00
Tofu,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,KG,Rs 250.00,Rs 300.00,Rs 276.67
Pomegranate,KG,Rs 380.00,Rs 400.00,Rs 390.00
Mango(Chousa),KG,Rs 250.00,Rs 280.00,Rs 266.67
Grapes(Black),KG,Rs 400.00,Rs 450.00,Rs 426.67
Water Melon(Green),KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Orange,KG,Rs 130.00,Rs 140.00,Rs 135.00
Mandarin,KG,Rs 200.00,Rs 220.00,Rs 210.00
Pineapple,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),KG,Rs 50.00,Rs 70.00,Rs 60.00
Cucumber(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pear(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 233.33
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Guava,KG,Rs 120.00,Rs 150.00,Rs 133.33
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 400.00,Rs 450.00,Rs 426.67
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 250.00,Rs 350.00,Rs 295.00
Amla,KG,Rs 140.00,Rs 150.00,Rs 145.00
Ginger,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,KG,Rs 400.00,Rs 450.00,Rs 426.67
Chilli Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Machhe),KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 350.00,Rs 295.00
Capsicum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Coriander Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Garlic Dry Chinese,KG,Rs 270.00,Rs 280.00,Rs 275.00
Garlic Dry Nepali,KG,Rs 240.00,Rs 250.00,Rs 245.00
Clive Dry,KG,Rs 160.00,Rs 180.00,Rs 170.00
Fish Fresh(Rahu),KG,Rs 340.00,Rs 350.00,Rs 345.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Lentinula Edodes,Kg,Rs 950.00,"Rs 1,000.00",Rs 976.67
