commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),KG,Rs 15.00,Rs 20.00,Rs 17.67
Tomato Small(Tunnel),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Indian),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,KG,Rs 27.00,Rs 28.00,Rs 27.33
Potato Red(Indian),KG,Rs 22.00,Rs 24.00,Rs 23.00
Potato White,KG,Rs 20.00,Rs 22.00,Rs 21.00
Onion Dry (Indian),KG,Rs 32.00,Rs 34.00,Rs 33.00
Carrot(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Carrot(Terai),KG,Rs 35.00,Rs 40.00,Rs 37.67
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.33
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Local),KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 35.00,Rs 32.67
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Rajma),KG,Rs 110.00,Rs 120.00,Rs 115.00
Sword Bean,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bitter Gourd,KG,Rs 110.00,Rs 120.00,Rs 115.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 130.00,Rs 140.00,Rs 135.00
Pointed Gourd(Terai),KG,Rs 130.00,Rs 140.00,Rs 135.00
Smooth Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Long),KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 60.00,Rs 70.00,Rs 65.00
Okara,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Barela,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,KG,Rs 110.00,Rs 120.00,Rs 115.00
Cress Leaf,KG,Rs 110.00,Rs 120.00,Rs 115.00
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,KG,Rs 110.00,Rs 120.00,Rs 115.00
Onion Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bakula,KG,Rs 70.00,Rs 80.00,Rs 75.00
Yam,KG,Rs 60.00,Rs 70.00,Rs 65.00
Mushroom(Kanya),KG,Rs 150.00,Rs 180.00,Rs 166.67
Mushroom(Button),KG,Rs 300.00,Rs 350.00,Rs 326.67
Asparagus,KG,Rs 350.00,Rs 400.00,Rs 375.00
Neuro,KG,Rs 90.00,Rs 100.00,Rs 95.00
Brocauli,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bauhania flower,KG,Rs 130.00,Rs 180.00,Rs 156.67
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,KG,Rs 40.00,Rs 50.00,Rs 45.00
Knolkhol,KG,Rs 50.00,Rs 60.00,Rs 55.00
Celery,KG,Rs 120.00,Rs 150.00,Rs 135.00
Parseley,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,KG,Rs 110.00,Rs 120.00,Rs 115.00
Mint,KG,Rs 150.00,Rs 200.00,Rs 175.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 275.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,KG,Rs 200.00,Rs 250.00,Rs 226.67
Pomegranate,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),KG,Rs 120.00,Rs 150.00,Rs 135.00
Grapes(Black),KG,Rs 180.00,Rs 200.00,Rs 190.00
Orange(Indian),KG,Rs 140.00,Rs 150.00,Rs 145.00
Sweet Orange,KG,Rs 150.00,Rs 180.00,Rs 165.00
Mandarin,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1 Pc,Rs 140.00,Rs 180.00,Rs 160.00
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 25.00,Rs 22.33
Jack Fruit,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 75.00
Kinnow,KG,Rs 120.00,Rs 150.00,Rs 135.00
Strawberry,KG,Rs 350.00,Rs 400.00,Rs 375.00
Kiwi,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 400.00,Rs 500.00,Rs 450.00
Amla,KG,Rs 120.00,Rs 130.00,Rs 125.00
Ginger,KG,Rs 120.00,Rs 130.00,Rs 125.00
Chilli Dry,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Bullet),KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Machhe),KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,KG,Rs 100.00,Rs 120.00,Rs 106.67
Garlic Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Coriander Green,KG,Rs 25.00,Rs 35.00,Rs 30.00
Garlic Dry Chinese,KG,Rs 170.00,Rs 180.00,Rs 175.00
Garlic Dry Nepali,KG,Rs 90.00,Rs 100.00,Rs 95.00
Clive Dry,KG,Rs 250.00,Rs 300.00,Rs 275.00
Clive Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Fish Fresh(Rahu),KG,Rs 330.00,Rs 360.00,Rs 345.00
Fish Fresh(Bachuwa),KG,Rs 260.00,Rs 280.00,Rs 270.00
Fish Fresh(Chhadi),KG,Rs 230.00,Rs 260.00,Rs 245.00
Fish Fresh(Mungari),KG,Rs 300.00,Rs 330.00,Rs 315.00
