commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Tunnel),KG,Rs 32.00,Rs 40.00,Rs 36.00
Potato Red,KG,Rs 48.00,Rs 50.00,Rs 49.00
Potato Red(Indian),KG,Rs 26.00,Rs 28.00,Rs 27.00
Potato Red(Mude),KG,Rs 43.00,Rs 45.00,Rs 44.00
Potato White,KG,Rs 34.00,Rs 36.00,Rs 35.00
Onion Dry (Indian),KG,Rs 46.00,Rs 48.00,Rs 47.00
Carrot(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 22.50
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 27.50
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cowpea(Short),KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Hybrid),KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Rajma),KG,Rs 120.00,Rs 140.00,Rs 130.00
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 66.67
Arum,KG,Rs 50.00,Rs 60.00,Rs 56.67
Christophine,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,KG,Rs 90.00,Rs 100.00,Rs 95.00
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cress Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 110.00,Rs 120.00,Rs 115.00
Mushroom(Kanya),KG,Rs 220.00,Rs 250.00,Rs 235.00
Mushroom(Button),KG,Rs 320.00,Rs 350.00,Rs 332.00
Asparagus,KG,Rs 500.00,Rs 600.00,Rs 550.00
Neuro,KG,Rs 90.00,Rs 100.00,Rs 95.00
Brocauli,KG,Rs 140.00,Rs 150.00,Rs 145.00
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 96.67
Celery,KG,Rs 120.00,Rs 150.00,Rs 135.00
