commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 140.00,Rs 150.00,Rs 145.00
Tomato Small(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Tomato Small(Tunnel),KG,Rs 130.00,Rs 140.00,Rs 135.75
Tomato Small(Indian),KG,Rs 130.00,Rs 140.00,Rs 135.00
Potato Red,KG,Rs 85.00,Rs 88.00,Rs 86.33
Potato Red(Indian),KG,Rs 61.00,Rs 65.00,Rs 63.00
Potato Red(Mude),KG,Rs 80.00,Rs 85.00,Rs 82.67
Onion Dry (Indian),KG,Rs 105.00,Rs 110.00,Rs 107.67
Carrot(Local),KG,Rs 150.00,Rs 160.00,Rs 155.00
Carrot(Terai),KG,Rs 130.00,Rs 140.00,Rs 135.00
Cabbage(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cabbage(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local,KG,Rs 120.00,Rs 130.00,Rs 125.75
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Brinjal Long,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brinjal Round,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cow pea(Long),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,KG,Rs 250.00,Rs 300.00,Rs 280.00
French Bean(Local),KG,Rs 100.00,Rs 120.00,Rs 111.25
French Bean(Hybrid),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),KG,Rs 180.00,Rs 200.00,Rs 190.00
Sword Bean,KG,Rs 85.00,Rs 100.00,Rs 91.67
Soyabean Green,KG,Rs 90.00,Rs 100.00,Rs 94.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Okara,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sweet Potato,KG,Rs 100.00,Rs 120.00,Rs 110.00
Barela,KG,Rs 100.00,Rs 120.00,Rs 110.00
Arum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brd Leaf Mustard,KG,Rs 180.00,Rs 250.00,Rs 210.00
Spinach Leaf,KG,Rs 250.00,Rs 300.00,Rs 276.67
Cress Leaf,KG,Rs 300.00,Rs 400.00,Rs 350.00
Mustard Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Onion Green,KG,Rs 250.00,Rs 300.00,Rs 276.67
Mushroom(Kanya),KG,Rs 110.00,Rs 140.00,Rs 125.00
Mushroom(Button),KG,Rs 300.00,Rs 350.00,Rs 326.67
Asparagus,KG,Rs 400.00,Rs 600.00,Rs 500.00
Brocauli,KG,Rs 130.00,Rs 150.00,Rs 140.00
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 95.00
Red Cabbbage,KG,Rs 150.00,Rs 200.00,Rs 176.67
Lettuce,KG,Rs 400.00,Rs 450.00,Rs 426.67
Celery,KG,Rs 800.00,Rs 900.00,Rs 860.00
Parseley,KG,"Rs 2,500.00","Rs 3,000.00","Rs 2,766.67"
Mint,KG,Rs 800.00,Rs 900.00,Rs 850.00
Turnip A,KG,Rs 150.00,Rs 200.00,Rs 176.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 100.00,Rs 120.00,Rs 111.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Jholey),KG,Rs 180.00,Rs 220.00,Rs 196.67
Apple(Fuji),KG,Rs 260.00,Rs 300.00,Rs 280.00
