commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 110.00,Rs 130.00,Rs 120.00
Tomato Big(Indian),KG,Rs 110.00,Rs 120.00,Rs 116.67
Tomato Small(Local),KG,Rs 45.00,Rs 55.00,Rs 50.00
Tomato Small(Tunnel),KG,Rs 65.00,Rs 78.00,Rs 71.60
Potato Red,KG,Rs 65.00,Rs 68.00,Rs 66.60
Potato Red(Indian),KG,Rs 54.00,Rs 56.00,Rs 55.00
Potato Red(Mude),KG,Rs 48.00,Rs 52.00,Rs 50.00
Potato White,KG,Rs 48.00,Rs 50.00,Rs 49.00
Onion Dry (Indian),KG,Rs 90.00,Rs 95.00,Rs 93.00
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cabbage(Local),KG,Rs 25.00,Rs 35.00,Rs 30.00
Cauli Local,KG,Rs 40.00,Rs 50.00,Rs 46.00
Cauli Local(Jyapu),KG,Rs 70.00,Rs 80.00,Rs 76.67
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 36.00
Brinjal Long,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brinjal Round,KG,Rs 80.00,Rs 90.00,Rs 83.33
Cow pea(Long),KG,Rs 90.00,Rs 110.00,Rs 102.00
Cowpea(Short),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Local),KG,Rs 130.00,Rs 170.00,Rs 144.00
French Bean(Hybrid),KG,Rs 160.00,Rs 180.00,Rs 173.33
French Bean(Rajma),KG,Rs 150.00,Rs 200.00,Rs 175.00
Soyabean Green,KG,Rs 120.00,Rs 130.00,Rs 126.67
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 96.00
Bottle Gourd,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 76.00
Snake Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Smooth Gourd,KG,Rs 90.00,Rs 100.00,Rs 96.00
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),KG,Rs 80.00,Rs 90.00,Rs 86.67
Okara,KG,Rs 100.00,Rs 120.00,Rs 110.00
Christophine,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brd Leaf Mustard,KG,Rs 100.00,Rs 150.00,Rs 133.33
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Mushroom(Kanya),KG,Rs 220.00,Rs 250.00,Rs 238.00
Mushroom(Button),KG,Rs 400.00,Rs 450.00,Rs 430.00
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 275.00
Neuro,KG,Rs 100.00,Rs 120.00,Rs 110.00
Brocauli,KG,Rs 90.00,Rs 100.00,Rs 96.67
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,KG,Rs 450.00,Rs 500.00,Rs 475.00
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 65.00
Lettuce,KG,Rs 300.00,Rs 350.00,Rs 325.00
Celery,KG,Rs 200.00,Rs 220.00,Rs 210.00
Parseley,KG,Rs 450.00,Rs 500.00,Rs 475.00
Mint,KG,Rs 300.00,Rs 350.00,Rs 325.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,KG,Rs 100.00,Rs 120.00,Rs 110.00
Tofu,KG,Rs 150.00,Rs 160.00,Rs 156.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,Per Dozen,Rs 130.00,Rs 140.00,Rs 136.67
Lime,KG,Rs 240.00,Rs 280.00,Rs 256.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mango(Maldah),KG,Rs 90.00,Rs 100.00,Rs 96.67
Mango(Dushari),KG,Rs 100.00,Rs 120.00,Rs 113.33
Water Melon(Green),KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,KG,Rs 160.00,Rs 180.00,Rs 170.00
Mandarin,KG,Rs 240.00,Rs 250.00,Rs 245.00
Pineapple,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),KG,Rs 120.00,Rs 150.00,Rs 132.00
Cucumber(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 76.67
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Local),KG,Rs 100.00,Rs 150.00,Rs 125.00
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Kiwi,KG,Rs 550.00,Rs 600.00,Rs 575.00
Avocado,KG,Rs 600.00,Rs 650.00,Rs 625.00
Ginger,KG,Rs 220.00,Rs 240.00,Rs 230.00
Chilli Dry,KG,Rs 460.00,Rs 500.00,Rs 480.00
Chilli Green,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Bullet),KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Machhe),KG,Rs 100.00,Rs 120.00,Rs 113.33
Chilli Green(Akbare),KG,Rs 400.00,Rs 450.00,Rs 425.00
Capsicum,KG,Rs 110.00,Rs 130.00,Rs 122.00
Garlic Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Coriander Green,KG,Rs 200.00,Rs 250.00,Rs 233.33
Garlic Dry Chinese,KG,Rs 220.00,Rs 240.00,Rs 230.00
Garlic Dry Nepali,KG,Rs 200.00,Rs 210.00,Rs 206.67
Fish Fresh(Rahu),KG,Rs 330.00,Rs 340.00,Rs 335.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
